At Rest Pulse Time (Seconds),At Rest Pulse Amplitude (amps),Propofol Sedation Pulse Time (Seconds),Propofol Sedation Pulse Amplitude
,,2576.136,0.057986896
,,2597.65,0.153626487
,,2632.794,0.053392959
,,2640.858,0.862880727
,,2655.66,0.964631175
,,2659.526,0.582600218
,,2669.684,0.037368468
,,2672.644,0.174441923
,,2688.82,4.229414703
,,2698.51,0.293192986
,,2717.314,0.247998088
,,2727.658,0.055135108
,,2738.668,0.805107453
,,2746.412,0.046249679
,,2753.288,0.263310305
,,2766.364,1.835954165
,,2775.626,0.280822683
,,2799.4,0.0365503
,,2902.95,0.045431092
,,2917.868,0.086489316
,,2927.006,0.230134136
,,2943.398,2.349379521
,,2955.736,0.25398252
,,2973.098,0.055303704
,,3020.804,0.045136517
,,3063.468,0.041178406
,,3135.656,0.087787598
,,3141.984,0.041460262
,,3157.124,0.07478579
,,3167.978,0.071768473
,,3205.286,1.620438776
,,3214.928,0.273092659
,,3239.232,0.036134282
,,3255.074,0.127683336
,,3264.184,0.46202692
,,3276.524,0.06330906
,,3297.638,0.167942837
,,3334.974,0.056710027
,,3353.772,0.184305101
,,3361.532,0.980293306
,,3371.318,0.30556457
,,3380.842,0.53937332
,,3392.086,0.618056511
,,3403.72,1.642789748
,,3414.014,0.218809922
,,3423.976,0.057652881
,,3435.912,2.36822901
,,3450.678,0.249358256
,,3511.204,0.636077844
,,3523.16,0.22447441
,,3535.43,0.060069992
,,3556.21,0.283059842
,,3569.214,0.567342508
,,3577.716,0.037952105
,,3594.276,0.724109185
,,3608.8,0.091884792
,,3619.358,1.151656285
,,3632.174,0.057824731
,,3649.748,3.623985541
,,3683.262,0.096948814
,,3695.564,0.411986783
,,3709.572,2.529360021
,,3717.004,0.322454749
,,3720.39,0.060107663
,,3750.286,0.042382045
,,3756.19,0.10109574
,,3785.108,0.036293564
,,3806.258,0.718128442
,,3817.91,0.068389844
,,3834.608,0.041120028
,,3843.77,0.230364544
,,3874.984,0.043999994
,,3890.154,0.049390719
,,3892.904,0.054795947
,,3898.226,1.098429616
,,3913.998,0.114468477
,,3928.55,0.777141368
,,3946.296,0.111160967
,,3961.852,0.611559132
,,3980.206,0.109129901
,,3988.552,0.06264584
,,3990.244,0.51163313
,,4003.204,0.176873226
,,4012.23,0.318060888
,,4021.38,0.844704346
,,4031.032,0.447212183
,,4050.284,1.326279992
,,4055.502,0.069428183
,,4066.426,0.74045124
,,4080.306,0.083277348
,,4085.95,0.042187006
,,4095.424,0.128744244
,,4108.452,0.781520103
,,4116.584,1.888629794
,,4120.598,0.074006778
,,4138.91,0.417251658
,,4144.774,1.48226869
,,4148.702,0.371828884
,,4157.274,0.035857962
,,4159.94,0.260497615
,,4165.532,0.035458801
,,4173.192,0.048298584
,,4180.098,1.982601703
,,4189.092,2.193226447
,,4202.568,1.012090422
,,4207.648,5.379494714
,,4214.604,0.116137753
,,4217.864,1.571690634
,,4221.392,0.974004112
,,4226.546,0.522886083
,,4236.178,3.471522219
,,4248.572,1.445929022
,,4254.432,2.032786934
,,4265.854,0.066767849
,,4271.514,0.938370619
,,4285.54,0.133509964
,,4291.574,0.090687593
,,4299.178,0.174741989
,,4309.876,0.223429874
,,4318.214,0.069018638
,,4322.958,2.675377653
,,4340.998,5.779519068
,,4349.996,1.923244858
,,4360.16,1.44694111
,,4363.808,0.039803977
,,4365.726,0.561228762
,,4369.614,3.116297887
,,4380.354,0.351307566
,,4387.862,0.47666532
,,4393.14,0.839816886
,,4400.454,0.049676008
,,4405.596,1.309576756
,,4410.054,0.242208376
,,4419.532,3.150851614
,,4432.806,2.541564669
,,4436.598,1.766092968
,,4443.27,0.581993684
,,4446.324,1.42302643
,,4450.85,1.908149976
,,4452.642,0.111910168
,,4459.348,0.163637636
,,4462.858,1.348358313
,,4473.24,1.050412631
,,4482.574,0.206852513
,,4487.274,0.07774865
,,4492.482,0.059709767
,,4495.378,2.96529824
,,4504.104,0.884724457
,,4512.194,0.103157463
,,4520.33,0.245494129
,,4522.662,1.056341552
,,4531.644,0.576870684
,,4537.196,0.211065443
,,4540.282,1.90093752
,,4545.232,0.773899659
,,4555.012,1.774042911
,,4562.968,0.466980106
,,4569.066,0.54156602
